Draft_Year,Pick,Team,Player,College,Years,G,MP_Total,PTS_Total,TRB_Total,AST_Total,FGpct,TPpct,FTpct,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2019,4,LAL,De'Andre Hunter,Virginia,2,83,2643,1098,388,154,.433,.355,.799,31.8,13.2,4.7,1.9,1.8,.033,-3.2,-0.8
2019,5,CLE,Darius Garland,Vanderbilt,2,112,3602,1666,240,556,.428,.373,.858,32.2,14.9,2.1,5.0,0.1,.001,-3.6,-1.5
2019,6,PHO,Jarrett Culver,Texas Tech,2,97,2005,760,316,134,.406,.288,.503,20.7,7.8,3.3,1.4,-0.2,-.005,-4.6,-1.3
2019,7,CHI,Coby White,UNC,2,127,3591,1785,479,464,.404,.351,.853,28.3,14.1,3.8,3.7,2.7,.036,-2.9,-0.8
2019,8,ATL,Jaxson Hayes,Texas,2,117,1881,819,468,83,.666,.364,.694,16.1,7.0,4.0,0.7,6.6,.169,-0.3,0.8
2019,9,WAS,Rui Hachimura,Gonzaga,2,100,3080,1364,582,164,.472,.313,.799,30.8,13.6,5.8,1.6,3.8,.059,-3.3,-1.0
2019,10,ATL,Cam Reddish,Duke,2,84,2301,902,320,122,.378,.309,.808,27.4,10.7,3.8,1.5,0.0,.000,-4.0,-1.2
2019,11,MIN,Cameron Johnson,UNC,2,115,2643,1068,379,153,.432,.373,.825,23.0,9.3,3.3,1.3,5.4,.099,0.0,1.4
2019,12,CHO,P.J. Washington,Kentucky,2,115,3469,1438,672,268,.452,.386,.699,30.2,12.5,5.8,2.3,4.4,.061,-1.4,0.6
2019,13,MIA,Tyler Herro,Kentucky,2,103,2980,1458,457,283,.428,.368,.838,28.9,14.2,4.4,2.7,2.8,.045,-1.8,0.2
2019,14,BOS,Romeo Langford,Indiana,2,46,586,113,70,21,.339,.214,.759,12.7,2.5,1.5,0.5,0.1,.012,-5.2,-0.5
