player,college,Team,Year,Player_URL,HS
Andray Blatche,,BRK,2013,https://www.basketball-reference.com/players/b/blatcan01.html,"South Kent School in South Kent, Connecticut|"
Andray Blatche,,BRK,2013,https://www.basketball-reference.com/players/b/blatcan01.html,"South Kent School in South Kent, Connecticut|"
Andray Blatche,,BRK,2013,https://www.basketball-reference.com/players/b/blatcan01.html,"South Kent School in South Kent, Connecticut|"
Andray Blatche,,BRK,2013,https://www.basketball-reference.com/players/b/blatcan01.html,"South Kent School in South Kent, Connecticut|"
Andray Blatche,,BRK,2013,https://www.basketball-reference.com/players/b/blatcan01.html,"South Kent School in South Kent, Connecticut|"
Keith Bogans,Kentucky,BRK,2013,https://www.basketball-reference.com/players/b/boganke01.html,"DeMatha Catholic in Hyattsville, Maryland|"
Keith Bogans,Kentucky,BRK,2013,https://www.basketball-reference.com/players/b/boganke01.html,"DeMatha Catholic in Hyattsville, Maryland|"
Keith Bogans,Kentucky,BRK,2013,https://www.basketball-reference.com/players/b/boganke01.html,"DeMatha Catholic in Hyattsville, Maryland|"
Keith Bogans,Kentucky,BRK,2013,https://www.basketball-reference.com/players/b/boganke01.html,"DeMatha Catholic in Hyattsville, Maryland|"
Keith Bogans,Kentucky,BRK,2013,https://www.basketball-reference.com/players/b/boganke01.html,"DeMatha Catholic in Hyattsville, Maryland|"
MarShon Brooks,Providence,BRK,2013,https://www.basketball-reference.com/players/b/brookma01.html,"Tucker in Stone Mountain, Georgia|"
MarShon Brooks,Providence,BRK,2013,https://www.basketball-reference.com/players/b/brookma01.html,"Tucker in Stone Mountain, Georgia|"
MarShon Brooks,Providence,BRK,2013,https://www.basketball-reference.com/players/b/brookma01.html,"Tucker in Stone Mountain, Georgia|"
MarShon Brooks,Providence,BRK,2013,https://www.basketball-reference.com/players/b/brookma01.html,"Tucker in Stone Mountain, Georgia|"
MarShon Brooks,Providence,BRK,2013,https://www.basketball-reference.com/players/b/brookma01.html,"Tucker in Stone Mountain, Georgia|"
Josh Childress,Stanford,BRK,2013,https://www.basketball-reference.com/players/c/childjo01.html,"Mayfair in Lakewood, California|"
Josh Childress,Stanford,BRK,2013,https://www.basketball-reference.com/players/c/childjo01.html,"Mayfair in Lakewood, California|"
Josh Childress,Stanford,BRK,2013,https://www.basketball-reference.com/players/c/childjo01.html,"Mayfair in Lakewood, California|"
Reggie Evans,Iowa,BRK,2013,https://www.basketball-reference.com/players/e/evansre01.html,"Woodham in Pensacola, Florida|"
Reggie Evans,Iowa,BRK,2013,https://www.basketball-reference.com/players/e/evansre01.html,"Woodham in Pensacola, Florida|"
Reggie Evans,Iowa,BRK,2013,https://www.basketball-reference.com/players/e/evansre01.html,"Woodham in Pensacola, Florida|"
Reggie Evans,Iowa,BRK,2013,https://www.basketball-reference.com/players/e/evansre01.html,"Woodham in Pensacola, Florida|"
Reggie Evans,Iowa,BRK,2013,https://www.basketball-reference.com/players/e/evansre01.html,"Woodham in Pensacola, Florida|"
Kris Humphries,Minnesota,BRK,2013,https://www.basketball-reference.com/players/h/humphkr01.html,"Hopkins in Minnetonka, Minnesota|"
