Name,URL2,Draft_Year,Img
Roy Hibbert,https://www.basketball-reference.com/players/h/hibbero01.html,2008,https://www.basketball-reference.com/req/202103225/images/players/hibbero01.jpg
JaVale McGee,https://www.basketball-reference.com/players/m/mcgeeja01.html,2008,https://www.basketball-reference.com/req/202103225/images/players/mcgeeja01.jpg
J.J. Hickson,https://www.basketball-reference.com/players/h/hicksjj01.html,2008,https://www.basketball-reference.com/req/202103225/images/players/hicksjj01.jpg
Alexis Ajinça,https://www.basketball-reference.com/players/a/ajincal01.html,2008,https://www.basketball-reference.com/req/202103225/images/players/ajincal01.jpg
Ryan Anderson,https://www.basketball-reference.com/players/a/anderry01.html,2008,https://www.basketball-reference.com/req/202103225/images/players/anderry01.jpg
Courtney Lee,https://www.basketball-reference.com/players/l/leeco01.html,2008,https://www.basketball-reference.com/req/202103225/images/players/leeco01.jpg
Kosta Koufos,https://www.basketball-reference.com/players/k/koufoko01.html,2008,https://www.basketball-reference.com/req/202103225/images/players/koufoko01.jpg
Serge Ibaka,https://www.basketball-reference.com/players/i/ibakase01.html,2008,https://www.basketball-reference.com/req/202103225/images/players/ibakase01.jpg
Nicolas Batum,https://www.basketball-reference.com/players/b/batumni01.html,2008,https://www.basketball-reference.com/req/202103225/images/players/batumni01.jpg
George Hill,https://www.basketball-reference.com/players/h/hillge01.html,2008,https://www.basketball-reference.com/req/202103225/images/players/hillge01.jpg
Darrell Arthur,https://www.basketball-reference.com/players/a/arthuda01.html,2008,https://www.basketball-reference.com/req/202103225/images/players/arthuda01.jpg
Donté Greene,https://www.basketball-reference.com/players/g/greendo01.html,2008,https://www.basketball-reference.com/req/202103225/images/players/greendo01.jpg
D.J. White,https://www.basketball-reference.com/players/w/whitedj01.html,2008,https://www.basketball-reference.com/req/202103225/images/players/whitedj01.jpg
J.R. Giddens,https://www.basketball-reference.com/players/g/giddejr01.html,2008,https://www.basketball-reference.com/req/202103225/images/players/giddejr01.jpg
Nikola Peković,https://www.basketball-reference.com/players/p/pekovni01.html,2008,https://www.basketball-reference.com/req/202103225/images/players/pekovni01.jpg
Walter Sharpe,https://www.basketball-reference.com/players/s/sharpwa01.html,2008,https://www.basketball-reference.com/req/202103225/images/players/sharpwa01.jpg
Joey Dorsey,https://www.basketball-reference.com/players/d/dorsejo01.html,2008,https://www.basketball-reference.com/req/202103225/images/players/dorsejo01.jpg
Mario Chalmers,https://www.basketball-reference.com/players/c/chalmma01.html,2008,https://www.basketball-reference.com/req/202103225/images/players/chalmma01.jpg
DeAndre Jordan,https://www.basketball-reference.com/players/j/jordade01.html,2008,https://www.basketball-reference.com/req/202103225/images/players/jordade01.jpg
Ömer Aşık,https://www.basketball-reference.com/players/a/asikom01.html,2008,https://www.basketball-reference.com/req/202103225/images/players/asikom01.jpg
Luc Mbah a Moute,https://www.basketball-reference.com/players/m/mbahalu01.html,2008,https://www.basketball-reference.com/req/202103225/images/players/mbahalu01.jpg
Kyle Weaver,https://www.basketball-reference.com/players/w/weaveky01.html,2008,https://www.basketball-reference.com/req/202103225/images/players/weaveky01.jpg
Sonny Weems,https://www.basketball-reference.com/players/w/weemsso01.html,2008,https://www.basketball-reference.com/req/202103225/images/players/weemsso01.jpg
Chris Douglas-Roberts,https://www.basketball-reference.com/players/d/douglch01.html,2008,https://www.basketball-reference.com/req/202103225/images/players/douglch01.jpg
Nathan Jawai,https://www.basketball-reference.com/players/j/jawaina01.html,2008,https://www.basketball-reference.com/req/202103225/images/players/jawaina01.jpg
Sean Singletary,https://www.basketball-reference.com/players/s/singlse01.html,2008,https://www.basketball-reference.com/req/202103225/images/players/singlse01.jpg
